Zeta Zeros,#FF00FF
0.5,1030.897368791
0.5,1031.833180297
0.5,1032.812883035
0.5,1034.612915530
0.5,1036.195917358
0.5,1037.024707646
0.5,1038.087752241
0.5,1039.077401437
0.5,1040.264037938
0.5,1041.621528015
0.5,1043.623954350
0.5,1044.514975829
0.5,1045.107042353
0.5,1047.089817484
0.5,1047.987147490
0.5,1048.953785195
0.5,1049.996284257
0.5,1051.576571843
0.5,1053.245785158
0.5,1054.781039478
0.5,1055.002146476
0.5,1056.688847364
0.5,1057.100043660
0.5,1059.133769107
0.5,1060.139518562
0.5,1061.501304465
0.5,1062.915381508
0.5,1064.071551072
0.5,1065.121855106
0.5,1066.463223469
0.5,1067.418860121
0.5,1067.990000079
0.5,1070.535041997
0.5,1071.618623215
0.5,1072.543998011
0.5,1073.570353165
0.5,1074.747771044
0.5,1076.266625594
0.5,1076.924056066
0.5,1078.647198481
0.5,1079.809965429
0.5,1081.171002343
0.5,1082.952749723
0.5,1083.295466514
0.5,1084.183264310
0.5,1085.647831209
0.5,1086.911998990
0.5,1088.755724675
0.5,1089.795337924
0.5,1090.863191026
0.5,1091.728472967
0.5,1093.440873272
0.5,1094.284457524
0.5,1095.433084759
0.5,1096.401917795
0.5,1098.841015467
0.5,1099.360667179
0.5,1100.574460622
0.5,1101.839111169
0.5,1102.551779900
0.5,1103.732297175
0.5,1105.617188831
0.5,1106.774371676
0.5,1107.774531955
0.5,1109.158918857
0.5,1110.444142994
0.5,1111.443504765
0.5,1112.432995408
0.5,1113.397595115
0.5,1115.065359462
0.5,1116.787253881
0.5,1117.965919669
0.5,1118.684134861
0.5,1119.473247426
0.5,1121.155937676
0.5,1122.458621357
0.5,1123.101117388
0.5,1125.314729398
0.5,1125.763442429
0.5,1127.658023527
0.5,1128.430224614
0.5,1129.728996777
0.5,1130.391597896
0.5,1131.495085562
0.5,1133.708625669
0.5,1134.885654592
0.5,1135.562213975
0.5,1136.929293481
0.5,1138.151589780
0.5,1138.992341820
0.5,1140.721848172
0.5,1141.261022964
0.5,1142.858659608
0.5,1144.782299519
0.5,1145.485327517
0.5,1146.576814925
0.5,1147.501776523
0.5,1148.615277209
0.5,1149.982601028
0.5,1151.562814724
0.5,1152.943128531
0.5,1153.890303716
0.5,1154.697519535
0.5,1156.621567834
0.5,1157.432314576
0.5,1158.001609027
0.5,1159.480657019
0.5,1161.396644634
0.5,1162.487528602
0.5,1163.701031683
0.5,1164.737586351
0.5,1165.271227706
0.5,1166.943613410
0.5,1168.086271610
0.5,1169.698356885
0.5,1170.463638578
0.5,1172.120681866
0.5,1173.305687764
0.5,1174.232766856
0.5,1175.215452396
0.5,1176.632875810
0.5,1177.106304422
0.5,1179.701223502
0.5,1180.653543787
0.5,1181.267318152
0.5,1182.582270347
0.5,1183.712775296
0.5,1185.155842847
0.5,1185.875358695
0.5,1187.345161493
0.5,1188.856444298
0.5,1189.963636498
0.5,1191.482605926
0.5,1192.218611478
0.5,1193.324021427
0.5,1193.857427135
0.5,1196.034671749
0.5,1197.071786659
0.5,1198.686569105
0.5,1199.356513708
0.5,1200.532692031
0.5,1201.810334857
0.5,1203.137350861
0.5,1203.855247594
0.5,1204.985492171
0.5,1206.870499794
0.5,1208.471459950
0.5,1208.989484168
0.5,1209.898030088
0.5,1211.416115893
0.5,1212.113153066
0.5,1213.598372680
0.5,1215.389975065
0.5,1216.183722033
0.5,1217.174482498
0.5,1219.050028177
0.5,1219.614471311
0.5,1220.816347691
0.5,1221.692242483
0.5,1222.952484095
0.5,1225.018330024
0.5,1225.855020761
0.5,1227.231827641
0.5,1227.917141614
0.5,1228.793154363
0.5,1230.584603154
0.5,1231.562273878
0.5,1232.529587041
0.5,1234.277816653
0.5,1235.502548527
0.5,1236.399017466
0.5,1237.977298514
0.5,1238.457232796
0.5,1239.490807147
0.5,1240.813471785
0.5,1243.078076398
0.5,1243.538146526
0.5,1244.851433967
0.5,1245.655866188
0.5,1247.372561970
0.5,1248.063061053
0.5,1249.159887953
0.5,1250.672397276
0.5,1251.659832004
0.5,1253.673577852
0.5,1254.431328422
0.5,1255.408230645
0.5,1256.181214198
0.5,1257.541219413
0.5,1258.779233489
0.5,1260.344548316
0.5,1261.611717161
0.5,1262.556614000
0.5,1263.676732844
0.5,1264.957223007
0.5,1266.179037761
0.5,1267.200345612
0.5,1267.570571779
0.5,1270.118921886
0.5,1271.134299632
0.5,1272.083959599
0.5,1273.261144633
0.5,1274.196220889
0.5,1275.092030316
0.5,1276.842171556
0.5,1277.763091986
0.5,1279.332843317
0.5,1280.155794409
0.5,1281.828726960
0.5,1283.000491387
0.5,1283.335032139
0.5,1284.854795155
0.5,1285.695023331
0.5,1287.410026617
0.5,1289.165351533
0.5,1290.104771520
0.5,1290.417708073
0.5,1291.945870968
0.5,1293.493981557
0.5,1294.118474378
0.5,1295.365363505
0.5,1296.801110992
0.5,1298.256527068
0.5,1299.405171251
0.5,1300.490018982
0.5,1301.495516681
0.5,1302.346742379
0.5,1303.273200229
0.5,1305.401672188
0.5,1306.508393313
0.5,1307.267242108
0.5,1308.988196518
0.5,1309.421532493
0.5,1311.056570511
0.5,1311.966940608
0.5,1313.031599369
0.5,1314.052565652
0.5,1316.212112603
0.5,1317.072986035
0.5,1318.171279132
0.5,1318.947880597
0.5,1319.931082878
0.5,1321.628138552
