index, Ar.x, Ar.y, Ag.x, Ag.y, InfR.x, InfR.y, InfG.x, InfG.y, Tr.x, Tr.y, Tg.x, Tg.y
2.8301, 1.43545,0.74859, 1.19079,0.28638, 1.41781,-0.42611, -0.41781,0.42611, 1.45518,-0.39134, 0.59007,0.11024
2.8351, 1.38959,0.77345, 1.21079,0.18436, 1.39972,-0.45278, -0.39972,0.45278, 1.43901,-0.41993, 0.59596,0.11791
2.8401, 1.34224,0.79553, 1.22207,0.08086, 1.37992,-0.47893, -0.37992,0.47893, 1.42101,-0.44816, 0.60194,0.12554
2.8451, 1.29358,0.81475, 1.22452,-0.02338, 1.35838,-0.50447, -0.35838,0.50447, 1.40114,-0.47590, 0.60801,0.13314
2.8501, 1.24377,0.83101, 1.21808,-0.12760, 1.33510,-0.52928, -0.33510,0.52928, 1.37940,-0.50304, 0.61416,0.14071
2.8551, 1.19299,0.84425, 1.20275,-0.23105, 1.31008,-0.55325, -0.31008,0.55325, 1.35576,-0.52946, 0.62042,0.14824
2.8601, 1.14143,0.85440, 1.17861,-0.33297, 1.28333,-0.57627, -0.28333,0.57627, 1.33021,-0.55503, 0.62678,0.15573
2.8651, 1.08926,0.86141, 1.14580,-0.43260, 1.25487,-0.59820, -0.25487,0.59820, 1.30277,-0.57961, 0.63324,0.16317
2.8701, 1.03669,0.86525, 1.10452,-0.52919, 1.22470,-0.61893, -0.22470,0.61893, 1.27345,-0.60307, 0.63982,0.17057
2.8751, 0.98391,0.86588, 1.05503,-0.62203, 1.19287,-0.63832, -0.19287,0.63832, 1.24225,-0.62526, 0.64651,0.17792
2.8801, 0.93111,0.86328, 0.99766,-0.71040, 1.15941,-0.65626, -0.15941,0.65626, 1.20922,-0.64604, 0.65333,0.18521
2.8851, 0.87848,0.85746, 0.93281,-0.79364, 1.12436,-0.67262, -0.12436,0.67262, 1.17439,-0.66527, 0.66028,0.19245
2.8901, 0.82624,0.84841, 0.86093,-0.87109, 1.08779,-0.68725, -0.08779,0.68725, 1.13781,-0.68280, 0.66736,0.19962
2.8951, 0.77457,0.83617, 0.78252,-0.94216, 1.04977,-0.70004, -0.04977,0.70004, 1.09954,-0.69848, 0.67457,0.20673
2.9001, 0.72367,0.82076, 0.69814,-1.00628, 1.01036,-0.71085, -0.01036,0.71085, 1.05966,-0.71215, 0.68193,0.21376
2.9051, 0.67374,0.80222, 0.60839,-1.06295, 0.96966,-0.71956, 0.03034,0.71956, 1.01826,-0.72367, 0.68944,0.22072
2.9101, 0.62498,0.78061, 0.51393,-1.11170, 0.92777,-0.72604, 0.07223,0.72604, 0.97542,-0.73289, 0.69709,0.22759
2.9151, 0.57757,0.75601, 0.41546,-1.15213, 0.88479,-0.73016, 0.11521,0.73016, 0.93127,-0.73966, 0.70491,0.23438
