index, F0 Tr.x, F0 Tr.y, F1 Tr.x, F1 Tr.y, F2 Tr.x, F2 Tr.y, F3 Tr.x, F3 Tr.y, F4 Tr.x, F4 Tr.y
0.7601, 1.50950,0.07506, 1.51380,0.01783, 1.51319,-0.00294, 1.51243,-0.01379, 1.51182,-0.02048
0.7651, 1.51804,0.05071, 1.51947,-0.00695, 1.51782,-0.02783, 1.51652,-0.03873, 1.51558,-0.04544
0.7701, 1.52555,0.02548, 1.52404,-0.03245, 1.52134,-0.05337, 1.51949,-0.06428, 1.51821,-0.07100
0.7751, 1.53195,-0.00060, 1.52745,-0.05862, 1.52368,-0.07952, 1.52128,-0.09041, 1.51965,-0.09711
0.7801, 1.53716,-0.02749, 1.52964,-0.08542, 1.52479,-0.10624, 1.52183,-0.11708, 1.51985,-0.12374
0.7851, 1.54110,-0.05516, 1.53054,-0.11281, 1.52461,-0.13347, 1.52107,-0.14422, 1.51875,-0.15083
0.7901, 1.54369,-0.08355, 1.53009,-0.14073, 1.52307,-0.16117, 1.51897,-0.17180, 1.51629,-0.17833
0.7951, 1.54486,-0.11262, 1.52821,-0.16912, 1.52011,-0.18928, 1.51544,-0.19975, 1.51242,-0.20618
0.8001, 1.54453,-0.14231, 1.52486,-0.19793, 1.51568,-0.21773, 1.51045,-0.22800, 1.50708,-0.23431
0.8051, 1.54262,-0.17255, 1.51996,-0.22708, 1.50972,-0.24645, 1.50394,-0.25649, 1.50023,-0.26265
0.8101, 1.53905,-0.20327, 1.51346,-0.25651, 1.50217,-0.27537, 1.49585,-0.28514, 1.49180,-0.29113
0.8151, 1.53376,-0.23438, 1.50529,-0.28612, 1.49299,-0.30440, 1.48614,-0.31387, 1.48176,-0.31967
0.8201, 1.52666,-0.26581, 1.49542,-0.31584, 1.48213,-0.33347, 1.47476,-0.34259, 1.47007,-0.34818
0.8251, 1.51770,-0.29745, 1.48378,-0.34557, 1.46954,-0.36248, 1.46167,-0.37122, 1.45667,-0.37657
0.8301, 1.50680,-0.32920, 1.47032,-0.37522, 1.45518,-0.39134, 1.44684,-0.39966, 1.44155,-0.40475
0.8351, 1.49390,-0.36095, 1.45502,-0.40467, 1.43901,-0.41993, 1.43022,-0.42780, 1.42465,-0.43261
0.8401, 1.47895,-0.39258, 1.43781,-0.43381, 1.42101,-0.44816, 1.41180,-0.45554, 1.40597,-0.46006
0.8451, 1.46190,-0.42396, 1.41869,-0.46254, 1.40114,-0.47590, 1.39155,-0.48277, 1.38548,-0.48696
0.8501, 1.44270,-0.45497, 1.39761,-0.49072, 1.37940,-0.50304, 1.36945,-0.50936, 1.36316,-0.51322
0.8551, 1.42132,-0.48545, 1.37457,-0.51823, 1.35576,-0.52946, 1.34549,-0.53521, 1.33900,-0.53871
0.8601, 1.39772,-0.51525, 1.34954,-0.54493, 1.33021,-0.55503, 1.31967,-0.56018, 1.31302,-0.56331
0.8651, 1.37190,-0.54423, 1.32253,-0.57069, 1.30277,-0.57961, 1.29200,-0.58414, 1.28520,-0.58689
0.8701, 1.34383,-0.57221, 1.29355,-0.59536, 1.27345,-0.60307, 1.26249,-0.60696, 1.25557,-0.60931
0.8751, 1.31352,-0.59903, 1.26260,-0.61880, 1.24225,-0.62526, 1.23116,-0.62850, 1.22415,-0.63044
0.8801, 1.28098,-0.62451, 1.22971,-0.64084, 1.20922,-0.64604, 1.19804,-0.64862, 1.19098,-0.65016
0.8851, 1.24625,-0.64846, 1.19492,-0.66134, 1.17439,-0.66527, 1.16318,-0.66718, 1.15609,-0.66830
0.8901, 1.20935,-0.67071, 1.15828,-0.68014, 1.13781,-0.68280, 1.12662,-0.68404, 1.11954,-0.68474
0.8951, 1.17034,-0.69106, 1.11984,-0.69708, 1.09954,-0.69848, 1.08843,-0.69904, 1.08139,-0.69933
0.9001, 1.12930,-0.70932, 1.07968,-0.71199, 1.05966,-0.71215, 1.04869,-0.71206, 1.04172,-0.71194
0.9051, 1.08630,-0.72529, 1.03788,-0.72473, 1.01826,-0.72367, 1.00747,-0.72293, 1.00062,-0.72241
0.9101, 1.04145,-0.73879, 0.99454,-0.73512, 0.97542,-0.73289, 0.96488,-0.73153, 0.95817,-0.73061
0.9151, 0.99487,-0.74962, 0.94978,-0.74300, 0.93127,-0.73966, 0.92103,-0.73770, 0.91450,-0.73640
0.9201, 0.94669,-0.75758, 0.90372,-0.74823, 0.88592,-0.74384, 0.87604,-0.74131, 0.86972,-0.73965
0.9251, 0.89708,-0.76250, 0.85650,-0.75066, 0.83952,-0.74529, 0.83004,-0.74222, 0.82397,-0.74023
0.9301, 0.84620,-0.76418, 0.80829,-0.75012, 0.79222,-0.74387, 0.78319,-0.74031, 0.77739,-0.73801
0.9351, 0.79426,-0.76246, 0.75925,-0.74650, 0.74417,-0.73946, 0.73565,-0.73546, 0.73016,-0.73288
0.9401, 0.74148,-0.75717, 0.70958,-0.73964, 0.69557,-0.73193, 0.68760,-0.72755, 0.68243,-0.72471
0.9451, 0.68807,-0.74814, 0.65947,-0.72944, 0.64661,-0.72118, 0.63922,-0.71647, 0.63440,-0.71342
0.9501, 0.63431,-0.73525, 0.60915,-0.71578, 0.59749,-0.70710, 0.59071,-0.70213, 0.58627,-0.69891
0.9551, 0.58046,-0.71836, 0.55885,-0.69856, 0.54843,-0.68960, 0.54229,-0.68445, 0.53824,-0.68110
0.9601, 0.52682,-0.69737, 0.50881,-0.67769, 0.49967,-0.66862, 0.49419,-0.66336, 0.49054,-0.65992
0.9651, 0.47370,-0.67219, 0.45929,-0.65312, 0.45145,-0.64408, 0.44663,-0.63879, 0.44339,-0.63531
0.9701, 0.42143,-0.64274, 0.41058,-0.62478, 0.40403,-0.61594, 0.39989,-0.61070, 0.39706,-0.60724
0.9751, 0.37035,-0.60898, 0.36296,-0.59264, 0.35767,-0.58418, 0.35420,-0.57908, 0.35178,-0.57568
0.9801, 0.32082,-0.57090, 0.31671,-0.55669, 0.31266,-0.54879, 0.30983,-0.54391, 0.30782,-0.54062
0.9851, 0.27321,-0.52851, 0.27216,-0.51695, 0.26928,-0.50977, 0.26708,-0.50521, 0.26545,-0.50209
0.9901, 0.22791,-0.48184, 0.22962,-0.47344, 0.22783,-0.46716, 0.22621,-0.46300, 0.22495,-0.46010
0.9951, 0.18530,-0.43099, 0.18940,-0.42623, 0.18859,-0.42102, 0.18751,-0.41735, 0.18659,-0.41473
