index, F0 Ag.x, F0 Ag.y, F1 Ag.x, F1 Ag.y, F2 Ag.x, F2 Ag.y, F3 Ag.x, F3 Ag.y, F4 Ag.x, F4 Ag.y
0.6651, NaN,NaN, -0.51540,1.31695, -1.20601,0.21341, -1.12946,-0.24013, -1.02451,-0.44764
0.6701, NaN,NaN, -0.38893,1.35968, -1.18488,0.30994, -1.14433,-0.15444, -1.05423,-0.37230
0.6751, NaN,NaN, -0.25870,1.39035, -1.15598,0.40460, -1.15271,-0.06778, -1.07843,-0.29493
0.6801, NaN,NaN, -0.12584,1.40860, -1.11948,0.49676, -1.15454,0.01938, -1.09698,-0.21594
0.6851, NaN,NaN, 0.00846,1.41419, -1.07557,0.58580, -1.14978,0.10653, -1.10976,-0.13573
0.6901, NaN,NaN, 0.14299,1.40697, -1.02450,0.67112, -1.13843,0.19317, -1.11669,-0.05472
0.6951, NaN,NaN, 0.27652,1.38692, -0.96658,0.75214, -1.12053,0.27881, -1.11772,0.02665
0.7001, NaN,NaN, 0.40782,1.35413, -0.90217,0.82831, -1.09618,0.36295, -1.11281,0.10796
0.7051, NaN,NaN, 0.53568,1.30884, -0.83166,0.89908, -1.06547,0.44509, -1.10198,0.18877
0.7101, NaN,NaN, 0.65888,1.25135, -0.75549,0.96397, -1.02857,0.52476, -1.08528,0.26866
0.7151, NaN,NaN, 0.77625,1.18214, -0.67415,1.02251, -0.98567,0.60149, -1.06276,0.34719
0.7201, NaN,NaN, 0.88665,1.10175, -0.58816,1.07428, -0.93699,0.67481, -1.03454,0.42393
0.7251, NaN,NaN, 0.98900,1.01088, -0.49807,1.11889, -0.88281,0.74430, -1.00076,0.49848
0.7301, NaN,NaN, 1.08229,0.91030, -0.40449,1.15602, -0.82341,0.80952, -0.96157,0.57043
0.7351, NaN,NaN, 1.16557,0.80091, -0.30801,1.18538, -0.75913,0.87009, -0.91717,0.63938
0.7401, NaN,NaN, 1.23798,0.68367, -0.20930,1.20673, -0.69032,0.92563, -0.86779,0.70495
0.7451, NaN,NaN, 1.29876,0.55966, -0.10901,1.21988, -0.61737,0.97580, -0.81367,0.76677
0.7501, NaN,NaN, 1.34725,0.43003, -0.00782,1.22472, -0.54071,1.02028, -0.75511,0.82451
0.7551, NaN,NaN, 1.38290,0.29597, 0.09358,1.22116, -0.46076,1.05879, -0.69239,0.87783
0.7601, NaN,NaN, 1.40527,0.15876, 0.19450,1.20920, -0.37799,1.09108, -0.62586,0.92644
0.7651, NaN,NaN, 1.41408,0.01970, 0.29422,1.18888, -0.29289,1.11694, -0.55587,0.97006
0.7701, NaN,NaN, 1.40913,-0.11985, 0.39206,1.16030, -0.20594,1.13619, -0.48277,1.00843
0.7751, NaN,NaN, 1.39038,-0.25853, 0.48733,1.12361, -0.11766,1.14869, -0.40697,1.04133
0.7801, NaN,NaN, 1.35794,-0.39498, 0.57935,1.07905, -0.02858,1.15435, -0.32888,1.06857
0.7851, NaN,NaN, 1.31202,-0.52783, 0.66746,1.02689, 0.06078,1.15310, -0.24890,1.08998
0.7901, NaN,NaN, 1.25300,-0.65574, 0.75103,0.96744, 0.14987,1.14493, -0.16749,1.10542
0.7951, NaN,NaN, 1.18138,-0.77740, 0.82945,0.90111, 0.23817,1.12987, -0.08507,1.11479
0.8001, NaN,NaN, 1.09779,-0.89155, 0.90214,0.82833, 0.32513,1.10798, -0.00211,1.11803
0.8051, NaN,NaN, 1.00300,-0.99699, 0.96857,0.74958, 0.41024,1.07937, 0.08094,1.11510
0.8101, NaN,NaN, 0.89788,-1.09261, 1.02822,0.66540, 0.49295,1.04419, 0.16362,1.10600
0.8151, NaN,NaN, 0.78345,-1.17737, 1.08065,0.57636, 0.57277,1.00263, 0.24547,1.09075
0.8201, NaN,NaN, 0.66080,-1.25034, 1.12545,0.48307, 0.64920,0.95492, 0.32603,1.06944
0.8251, NaN,NaN, 0.53113,-1.31069, 1.16227,0.38618, 0.72175,0.90133, 0.40486,1.04216
0.8301, NaN,NaN, 0.39574,-1.35771, 1.19079,0.28638, 0.78998,0.84218, 0.48151,1.00904
0.8351, NaN,NaN, 0.25598,-1.39085, 1.21079,0.18436, 0.85345,0.77779, 0.55553,0.97025
0.8401, NaN,NaN, 0.11328,-1.40967, 1.22207,0.08086, 0.91175,0.70855, 0.62652,0.92600
0.8451, NaN,NaN, -0.03091,-1.41388, 1.22452,-0.02338, 0.96450,0.63488, 0.69406,0.87652
0.8501, NaN,NaN, -0.17508,-1.40333, 1.21808,-0.12760, 1.01137,0.55720, 0.75777,0.82206
0.8551, NaN,NaN, -0.31773,-1.37806, 1.20275,-0.23105, 1.05203,0.47599, 0.81727,0.76294
0.8601, NaN,NaN, -0.45733,-1.33823, 1.17861,-0.33297, 1.08622,0.39173, 0.87222,0.69945
0.8651, NaN,NaN, -0.59239,-1.28416, 1.14580,-0.43260, 1.11371,0.30494, 0.92230,0.63196
0.8701, NaN,NaN, -0.72144,-1.21636, 1.10452,-0.52919, 1.13429,0.21616, 0.96720,0.56082
0.8751, NaN,NaN, -0.84308,-1.13544, 1.05503,-0.62203, 1.14781,0.12593, 1.00666,0.48645
0.8801, NaN,NaN, -0.95595,-1.04219, 0.99766,-0.71040, 1.15418,0.03480, 1.04044,0.40924
0.8851, NaN,NaN, -1.05877,-0.93755, 0.93281,-0.79364, 1.15331,-0.05665, 1.06834,0.32963
0.8901, NaN,NaN, -1.15038,-0.82257, 0.86093,-0.87109, 1.14520,-0.14784, 1.09017,0.24806
0.8951, NaN,NaN, -1.22972,-0.69843, 0.78252,-0.94216, 1.12986,-0.23821, 1.10579,0.16501
0.9001, NaN,NaN, -1.29582,-0.56643, 0.69814,-1.00628, 1.10738,-0.32717, 1.11510,0.08093
0.9051, NaN,NaN, -1.34791,-0.42796, 0.60839,-1.06295, 1.07787,-0.41417, 1.11803,-0.00369
0.9101, NaN,NaN, -1.38530,-0.28451, 0.51393,-1.11170, 1.04148,-0.49864, 1.11454,-0.08836
0.9151, NaN,NaN, -1.40750,-0.13762, 0.41546,-1.15213, 0.99844,-0.58004, 1.10463,-0.17260
0.9201, NaN,NaN, -1.41417,0.01109, 0.31370,-1.18389, 0.94899,-0.65783, 1.08835,-0.25593
0.9251, NaN,NaN, -1.40514,0.15998, 0.20940,-1.20671, 0.89343,-0.73152, 1.06576,-0.33786
0.9301, NaN,NaN, -1.38040,0.30739, 0.10336,-1.22038, 0.83209,-0.80060, 1.03699,-0.41790
0.9351, NaN,NaN, -1.34015,0.45167, -0.00362,-1.22474, 0.76534,-0.86463, 1.00219,-0.49560
0.9401, NaN,NaN, -1.28473,0.59115, -0.11073,-1.21973, 0.69360,-0.92318, 0.96153,-0.57049
0.9451, NaN,NaN, -1.21469,0.72424, -0.21715,-1.20534, 0.61731,-0.97584, 0.91524,-0.64214
0.9501, NaN,NaN, -1.13072,0.84939, -0.32205,-1.18164, 0.53695,-1.02226, 0.86357,-0.71010
0.9551, NaN,NaN, -1.03371,0.96511, -0.42461,-1.14878, 0.45302,-1.06212, 0.80682,-0.77398
0.9601, NaN,NaN, -0.92467,1.07004, -0.52403,-1.10697, 0.36606,-1.09514, 0.74529,-0.83339
0.9651, NaN,NaN, -0.80480,1.16288, -0.61952,-1.05650, 0.27663,-1.12108, 0.67934,-0.88797
0.9701, NaN,NaN, -0.67540,1.24251, -0.71032,-0.99772, 0.18529,-1.13974, 0.60934,-0.93739
0.9751, NaN,NaN, -0.53793,1.30791, -0.79570,-0.93106, 0.09264,-1.15098, 0.53569,-0.98134
0.9801, NaN,NaN, -0.39392,1.35824, -0.87496,-0.85700, -0.00071,-1.15470, 0.45882,-1.01955
0.9851, NaN,NaN, -0.24503,1.39283, -0.94745,-0.77610, -0.09417,-1.15085, 0.37917,-1.05177
0.9901, NaN,NaN, -0.09296,1.41115, -1.01259,-0.68896, -0.18711,-1.13944, 0.29720,-1.07781
0.9951, NaN,NaN, 0.06050,1.41292, -1.06980,-0.59626, -0.27893,-1.12051, 0.21340,-1.09748
