index, F0 InfR.x, F0 InfR.y, F1 InfR.x, F1 InfR.y, F2 InfR.x, F2 InfR.y, F3 InfR.x, F3 InfR.y, F4 InfR.x, F4 InfR.y
0.4551, 0.76255,0.30460, 0.76255,0.30460, 0.76255,0.30460, 0.76255,0.30460, 0.76255,0.30460
0.4601, 0.77184,0.31070, 0.77184,0.31070, 0.77184,0.31070, 0.77184,0.31070, 0.77184,0.31070
0.4651, 0.78134,0.31666, 0.78134,0.31666, 0.78134,0.31666, 0.78134,0.31666, 0.78134,0.31666
0.4701, 0.79105,0.32247, 0.79105,0.32247, 0.79105,0.32247, 0.79105,0.32247, 0.79105,0.32247
0.4751, 0.80096,0.32812, 0.80096,0.32812, 0.80096,0.32812, 0.80096,0.32812, 0.80096,0.32812
0.4801, 0.81109,0.33360, 0.81109,0.33360, 0.81109,0.33360, 0.81109,0.33360, 0.81109,0.33360
0.4851, 0.82143,0.33891, 0.82143,0.33891, 0.82143,0.33891, 0.82143,0.33891, 0.82143,0.33891
0.4901, 0.83200,0.34402, 0.83200,0.34402, 0.83200,0.34402, 0.83200,0.34402, 0.83200,0.34402
0.4951, 0.84277,0.34894, 0.84277,0.34894, 0.84277,0.34894, 0.84277,0.34894, 0.84277,0.34894
0.5001, 0.85378,0.35365, 0.85378,0.35365, 0.85378,0.35365, 0.85378,0.35365, 0.85378,0.35365
0.5051, 0.86500,0.35813, 0.86500,0.35813, 0.86500,0.35813, 0.86500,0.35813, 0.86500,0.35813
0.5101, 0.87644,0.36238, 0.87644,0.36238, 0.87644,0.36238, 0.87644,0.36238, 0.87644,0.36238
0.5151, 0.88811,0.36638, 0.88811,0.36638, 0.88811,0.36638, 0.88811,0.36638, 0.88811,0.36638
0.5201, 0.90001,0.37012, 0.90001,0.37012, 0.90001,0.37012, 0.90001,0.37012, 0.90001,0.37012
0.5251, 0.91212,0.37359, 0.91212,0.37359, 0.91212,0.37359, 0.91212,0.37359, 0.91212,0.37359
0.5301, 0.92446,0.37677, 0.92446,0.37677, 0.92446,0.37677, 0.92446,0.37677, 0.92446,0.37677
0.5351, 0.93701,0.37965, 0.93701,0.37965, 0.93701,0.37965, 0.93701,0.37965, 0.93701,0.37965
0.5401, 0.94978,0.38222, 0.94978,0.38222, 0.94978,0.38222, 0.94978,0.38222, 0.94978,0.38222
0.5451, 0.96277,0.38445, 0.96277,0.38445, 0.96277,0.38445, 0.96277,0.38445, 0.96277,0.38445
0.5501, 0.97596,0.38634, 0.97596,0.38634, 0.97596,0.38634, 0.97596,0.38634, 0.97596,0.38634
0.5551, 0.98936,0.38787, 0.98936,0.38787, 0.98936,0.38787, 0.98936,0.38787, 0.98936,0.38787
0.5601, 1.00296,0.38902, 1.00296,0.38902, 1.00296,0.38902, 1.00296,0.38902, 1.00296,0.38902
0.5651, 1.01676,0.38977, 1.01676,0.38977, 1.01676,0.38977, 1.01676,0.38977, 1.01676,0.38977
0.5701, 1.03074,0.39012, 1.03074,0.39012, 1.03074,0.39012, 1.03074,0.39012, 1.03074,0.39012
0.5751, 1.04490,0.39004, 1.04490,0.39004, 1.04490,0.39004, 1.04490,0.39004, 1.04490,0.39004
0.5801, 1.05923,0.38951, 1.05923,0.38951, 1.05923,0.38951, 1.05923,0.38951, 1.05923,0.38951
