index, F0 InfG.x, F0 InfG.y, F1 InfG.x, F1 InfG.y, F2 InfG.x, F2 InfG.y, F3 InfG.x, F3 InfG.y, F4 InfG.x, F4 InfG.y
0.5401, 0.05022,-0.38222, 0.05022,-0.38222, 0.05022,-0.38222, 0.05022,-0.38222, 0.05022,-0.38222
0.5451, 0.03723,-0.38445, 0.03723,-0.38445, 0.03723,-0.38445, 0.03723,-0.38445, 0.03723,-0.38445
0.5501, 0.02404,-0.38634, 0.02404,-0.38634, 0.02404,-0.38634, 0.02404,-0.38634, 0.02404,-0.38634
0.5551, 0.01064,-0.38787, 0.01064,-0.38787, 0.01064,-0.38787, 0.01064,-0.38787, 0.01064,-0.38787
0.5601, -0.00296,-0.38902, -0.00296,-0.38902, -0.00296,-0.38902, -0.00296,-0.38902, -0.00296,-0.38902
0.5651, -0.01676,-0.38977, -0.01676,-0.38977, -0.01676,-0.38977, -0.01676,-0.38977, -0.01676,-0.38977
0.5701, -0.03074,-0.39012, -0.03074,-0.39012, -0.03074,-0.39012, -0.03074,-0.39012, -0.03074,-0.39012
0.5751, -0.04490,-0.39004, -0.04490,-0.39004, -0.04490,-0.39004, -0.04490,-0.39004, -0.04490,-0.39004
0.5801, -0.05923,-0.38951, -0.05923,-0.38951, -0.05923,-0.38951, -0.05923,-0.38951, -0.05923,-0.38951
0.5851, -0.07372,-0.38853, -0.07372,-0.38853, -0.07372,-0.38853, -0.07372,-0.38853, -0.07372,-0.38853
0.5901, -0.08835,-0.38706, -0.08835,-0.38706, -0.08835,-0.38706, -0.08835,-0.38706, -0.08835,-0.38706
0.5951, -0.10313,-0.38510, -0.10313,-0.38510, -0.10313,-0.38510, -0.10313,-0.38510, -0.10313,-0.38510
0.6001, -0.11803,-0.38263, -0.11803,-0.38263, -0.11803,-0.38263, -0.11803,-0.38263, -0.11803,-0.38263
0.6051, -0.13304,-0.37962, -0.13304,-0.37962, -0.13304,-0.37962, -0.13304,-0.37962, -0.13304,-0.37962
0.6101, -0.14814,-0.37607, -0.14814,-0.37607, -0.14814,-0.37607, -0.14814,-0.37607, -0.14814,-0.37607
0.6151, -0.16331,-0.37195, -0.16331,-0.37195, -0.16331,-0.37195, -0.16331,-0.37195, -0.16331,-0.37195
0.6201, -0.17855,-0.36724, -0.17855,-0.36724, -0.17855,-0.36724, -0.17855,-0.36724, -0.17855,-0.36724
0.6251, -0.19383,-0.36194, -0.19383,-0.36194, -0.19383,-0.36194, -0.19383,-0.36194, -0.19383,-0.36194
0.6301, -0.20912,-0.35601, -0.20912,-0.35601, -0.20912,-0.35601, -0.20912,-0.35601, -0.20912,-0.35601
0.6351, -0.22441,-0.34946, -0.22441,-0.34946, -0.22441,-0.34946, -0.22441,-0.34946, -0.22441,-0.34946
0.6401, -0.23966,-0.34225, -0.23966,-0.34225, -0.23966,-0.34225, -0.23966,-0.34225, -0.23966,-0.34225
0.6451, -0.25487,-0.33438, -0.25487,-0.33438, -0.25487,-0.33438, -0.25487,-0.33438, -0.25487,-0.33438
0.6501, -0.26999,-0.32582, -0.26999,-0.32582, -0.26999,-0.32582, -0.26999,-0.32582, -0.26999,-0.32582
0.6551, -0.28501,-0.31658, -0.28501,-0.31658, -0.28501,-0.31658, -0.28501,-0.31658, -0.28501,-0.31658
0.6601, -0.29988,-0.30662, -0.29988,-0.30662, -0.29988,-0.30662, -0.29988,-0.30662, -0.29988,-0.30662
0.6651, -0.31459,-0.29594, -0.31459,-0.29594, -0.31459,-0.29594, -0.31459,-0.29594, -0.31459,-0.29594
0.6701, -0.32908,-0.28454, -0.32908,-0.28454, -0.32908,-0.28454, -0.32908,-0.28454, -0.32908,-0.28454
0.6751, -0.34334,-0.27239, -0.34334,-0.27239, -0.34334,-0.27239, -0.34334,-0.27239, -0.34334,-0.27239
0.6801, -0.35733,-0.25949, -0.35733,-0.25949, -0.35733,-0.25949, -0.35733,-0.25949, -0.35733,-0.25949
0.6851, -0.37100,-0.24583, -0.37100,-0.24583, -0.37100,-0.24583, -0.37100,-0.24583, -0.37100,-0.24583
0.6901, -0.38431,-0.23141, -0.38431,-0.23141, -0.38431,-0.23141, -0.38431,-0.23141, -0.38431,-0.23141
0.6951, -0.39723,-0.21623, -0.39723,-0.21623, -0.39723,-0.21623, -0.39723,-0.21623, -0.39723,-0.21623
0.7001, -0.40972,-0.20027, -0.40972,-0.20027, -0.40972,-0.20027, -0.40972,-0.20027, -0.40972,-0.20027
0.7051, -0.42172,-0.18354, -0.42172,-0.18354, -0.42172,-0.18354, -0.42172,-0.18354, -0.42172,-0.18354
0.7101, -0.43319,-0.16605, -0.43319,-0.16605, -0.43319,-0.16605, -0.43319,-0.16605, -0.43319,-0.16605
0.7151, -0.44409,-0.14779, -0.44409,-0.14779, -0.44409,-0.14779, -0.44409,-0.14779, -0.44409,-0.14779
0.7201, -0.45436,-0.12878, -0.45436,-0.12878, -0.45436,-0.12878, -0.45436,-0.12878, -0.45436,-0.12878
0.7251, -0.46397,-0.10902, -0.46397,-0.10902, -0.46397,-0.10902, -0.46397,-0.10902, -0.46397,-0.10902
0.7301, -0.47285,-0.08852, -0.47285,-0.08852, -0.47285,-0.08852, -0.47285,-0.08852, -0.47285,-0.08852
0.7351, -0.48096,-0.06730, -0.48096,-0.06730, -0.48096,-0.06730, -0.48096,-0.06730, -0.48096,-0.06730
0.7401, -0.48824,-0.04538, -0.48824,-0.04538, -0.48824,-0.04538, -0.48824,-0.04538, -0.48824,-0.04538
0.7451, -0.49463,-0.02278, -0.49463,-0.02278, -0.49463,-0.02278, -0.49463,-0.02278, -0.49463,-0.02278
0.7501, -0.50010,0.00047, -0.50010,0.00047, -0.50010,0.00047, -0.50010,0.00047, -0.50010,0.00047
0.7551, -0.50458,0.02435, -0.50458,0.02435, -0.50458,0.02435, -0.50458,0.02435, -0.50458,0.02435
0.7601, -0.50801,0.04883, -0.50801,0.04883, -0.50801,0.04883, -0.50801,0.04883, -0.50801,0.04883
0.7651, -0.51035,0.07387, -0.51035,0.07387, -0.51035,0.07387, -0.51035,0.07387, -0.51035,0.07387
0.7701, -0.51154,0.09943, -0.51154,0.09943, -0.51154,0.09943, -0.51154,0.09943, -0.51154,0.09943
0.7751, -0.51152,0.12546, -0.51152,0.12546, -0.51152,0.12546, -0.51152,0.12546, -0.51152,0.12546
0.7801, -0.51024,0.15192, -0.51024,0.15192, -0.51024,0.15192, -0.51024,0.15192, -0.51024,0.15192
0.7851, -0.50766,0.17875, -0.50766,0.17875, -0.50766,0.17875, -0.50766,0.17875, -0.50766,0.17875
0.7901, -0.50372,0.20590, -0.50372,0.20590, -0.50372,0.20590, -0.50372,0.20590, -0.50372,0.20590
0.7951, -0.49836,0.23330, -0.49836,0.23330, -0.49836,0.23330, -0.49836,0.23330, -0.49836,0.23330
