index, F0 Tg.x, F0 Tg.y, F1 Tg.x, F1 Tg.y, F2 Tg.x, F2 Tg.y, F3 Tg.x, F3 Tg.y, F4 Tg.x, F4 Tg.y
0.8901, 0.67981,0.17758, 0.67107,0.19315, 0.66736,0.19962, 0.66532,0.20321, 0.66403,0.20549
0.8951, 0.68739,0.18459, 0.67838,0.20020, 0.67457,0.20673, 0.67249,0.21035, 0.67117,0.21265
0.9001, 0.69511,0.19150, 0.68583,0.20718, 0.68193,0.21376, 0.67980,0.21742, 0.67846,0.21975
0.9051, 0.70297,0.19832, 0.69342,0.21408, 0.68944,0.22072, 0.68726,0.22441, 0.68589,0.22677
0.9101, 0.71098,0.20503, 0.70117,0.22088, 0.69709,0.22759, 0.69487,0.23133, 0.69348,0.23372
0.9151, 0.71915,0.21162, 0.70907,0.22759, 0.70491,0.23438, 0.70264,0.23817, 0.70123,0.24059
0.9201, 0.72747,0.21809, 0.71713,0.23420, 0.71288,0.24107, 0.71058,0.24491, 0.70913,0.24737
0.9251, 0.73595,0.22443, 0.72535,0.24071, 0.72102,0.24766, 0.71868,0.25156, 0.71721,0.25405
0.9301, 0.74460,0.23064, 0.73375,0.24709, 0.72933,0.25415, 0.72695,0.25810, 0.72545,0.26064
0.9351, 0.75342,0.23670, 0.74231,0.25336, 0.73781,0.26052, 0.73539,0.26454, 0.73387,0.26712
0.9401, 0.76241,0.24261, 0.75105,0.25950, 0.74648,0.26677, 0.74401,0.27086, 0.74248,0.27348
0.9451, 0.77158,0.24836, 0.75997,0.26550, 0.75532,0.27290, 0.75282,0.27706, 0.75126,0.27972
0.9501, 0.78092,0.25394, 0.76907,0.27135, 0.76434,0.27889, 0.76181,0.28312, 0.76023,0.28584
0.9551, 0.79044,0.25934, 0.77836,0.27705, 0.77356,0.28473, 0.77099,0.28904, 0.76939,0.29182
0.9601, 0.80015,0.26455, 0.78783,0.28259, 0.78297,0.29042, 0.78036,0.29482, 0.77875,0.29765
0.9651, 0.81004,0.26956, 0.79750,0.28795, 0.79257,0.29594, 0.78993,0.30044, 0.78830,0.30333
0.9701, 0.82011,0.27435, 0.80736,0.29314, 0.80236,0.30130, 0.79970,0.30589, 0.79805,0.30884
0.9751, 0.83037,0.27893, 0.81742,0.29813, 0.81236,0.30647, 0.80967,0.31117, 0.80801,0.31419
0.9801, 0.84082,0.28326, 0.82767,0.30291, 0.82255,0.31145, 0.81985,0.31626, 0.81817,0.31935
0.9851, 0.85145,0.28736, 0.83811,0.30749, 0.83295,0.31623, 0.83022,0.32115, 0.82854,0.32431
0.9901, 0.86227,0.29119, 0.84876,0.31184, 0.84356,0.32079, 0.84081,0.32584, 0.83911,0.32907
0.9951, 0.87327,0.29476, 0.85961,0.31595, 0.85436,0.32513, 0.85160,0.33030, 0.84990,0.33362
