Rak1 10,000 zeros
-1.6727060599837,7491.62210792901
-1.66938172459438,9846.75055078313
-1.6668848993958,6821.52748969465
-1.63067393543077,6375.33077950761
-1.61151096892884,1771.74585741918
-1.60896285221593,5385.0683902202
-1.60694591163511,9603.01606732011
-1.60251596995201,6002.57755941319
-1.60233254476869,6013.94012241811
-1.58951780152256,397.006900720505
-1.57805188998857,1287.43927484203
-1.57286700097761,22.4228923893298
-1.56473107270195,4690.1301282843
-1.55550381551312,9866.16935318304
-1.5423609397106,8264.22690081269
-1.52445289950625,6760.25643638095
-1.51559871469593,514.118680744124
-1.50765715525822,1613.12562388407
-1.48593101563545,6177.30973860511
-1.47808390211649,9362.15149024832
-1.47100889743706,6408.0772765479
-1.46370135200217,1231.20957340471
-1.44890534343027,6416.8481328503
-1.44458821466592,181.844639871476
-1.44190145069762,2750.13084935739
-1.43184610410167,8792.32183513522
-1.42199720734824,833.661504429855
-1.41398470688335,4398.86210876546
-1.40738244147771,3779.90726486447
-1.40622735949475,4092.98297719162
-1.38899033440591,3422.01392770294
-1.38655208920969,8884.31307416931
-1.38281150692401,8731.04031988375
-1.37479055584144,2477.39626022348
-1.36479255160476,4178.31944455322
-1.36116439890528,7750.06818392937
-1.35220780346886,685.308931302695
-1.3495810397168,4637.65789583671
-1.34654753333808,9683.66442683929
-1.32519708286395,6170.39260653877
-1.31109914056492,7526.36471119684
-1.30675943512135,7261.13468051627
-1.30649244102925,3836.64299516765
-1.29712754322309,7059.4647475249
-1.2932060314238,1393.5518154879
-1.28870411290882,4733.00718243487
-1.28314619235868,4739.82047821158
-1.27793786368108,7609.95127051817
-1.27566962832211,3616.47295570383
-1.27017927490105,6587.46646147036
-1.24637945290776,5695.65681829455
-1.24613976702678,2255.45696949958
-1.24346234211206,8937.19985410499
-1.23580108647647,9970.09956944187
-1.2289248605609,1652.21744510847
-1.22472643505824,1865.86668701781
-1.22455634270485,1208.37570971661
-1.22062211282245,2609.03662562094
-1.220492962772,5097.8515665566
-1.21700737281245,7318.37790814576
-1.21669088541348,1783.6551986213
-1.21202037856776,4749.052530756
-1.20903961861922,6490.99911269841
-1.20512271782543,4374.10555900216
-1.20311049118099,7622.02723759539
-1.20040853494634,3314.41782841288
-1.20020467986746,9334.15748354045
-1.19018472828246,5570.18785907466
-1.18941300547876,624.343842013618
-1.18934120379545,6582.46060269483
-1.17353672616138,9268.98453783631
-1.17220562173997,9798.37351318049
-1.16636257270661,5466.26825115876
-1.16367042234116,6397.70716365626
-1.15524265531549,2135.43937793557
-1.15494383533265,4297.20131165183
-1.15073411781859,1902.29882639709
-1.14613646459915,8611.54171416396
-1.14583979295965,5316.85118323352
-1.13912218196217,7900.31732178844
-1.13620432731356,9699.56172707625
-1.13312406043889,8879.91365972253
-1.12890320143671,7504.31089710804
-1.12709480522211,6882.25427697052
-1.11858347786792,9205.84982585916
-1.11610291401378,8056.81276717339
-1.11299652359464,1688.94475871052
-1.11286596210154,101.618394427697
-1.10537446429479,5773.73198589617
-1.10224851758709,6755.99091350783
-1.09993705767792,2212.36350684673
-1.09977683674556,661.288939694914
-1.08875565553537,8628.3490578451
-1.08560660570429,5924.33951812213
-1.08555047010071,1956.98087420051
-1.08072233901419,9552.25573576329
-1.07772938789314,2385.60146274335
-1.07008851996274,9766.26652236582
-1.05130182447562,9280.47393921778
-1.04946844388229,5016.81086500608
-1.02235022602746,7463.98329486667
-1.01967422507441,7754.70023323768
-1.01812652382116,9564.53103026573
-1.01450010198936,8658.11192728523
-1.0073768866987,4684.87793217348
-1.00730651848442,8206.65664168762
-1.00632816403958,3539.70357700069
-1.00573368885395,1483.56080588092
-1.0039552859826,6605.48109187804
-0.996473511840616,1446.38698232996
-0.993618018453265,1710.62536511379
-0.990936875253302,1473.12887480762
-0.990384722006269,4681.4683356187
-0.985813175064029,9106.36827279609
-0.983367156520915,6331.78166789541
-0.979391925750662,8071.7929197955
-0.967053859045443,2834.8267061774
-0.963216772187216,9423.80593774002
-0.961572054052775,188.921942880154
-0.960343023972397,5457.47336712076
-0.948113761371001,2494.75306953329
-0.944612947965787,9349.95991320878
-0.943848796243511,3041.32543338076
-0.940076426819337,7887.55922675592
-0.936603443431856,3056.33473474024
-0.93376255871141,5037.54979970065
-0.920251096608683,1496.00794458473
-0.918505226909467,6082.68440277567
-0.917401288184974,6263.56846600653
-0.915749578610998,1567.08913739467
-0.89430489685913,3882.82695566113
-0.893023543206677,817.003706606529
-0.892573423423455,1569.66763938049
-0.889397815186208,2518.78911531759
-0.888785515154866,5852.26563991581
-0.884282644694021,8269.86345458265
-0.87981658687786,121.754006306651
-0.878549589356177,71.3306478663647
-0.876390863279306,539.521463245361
-0.867113395214336,3705.5145387448
-0.862648712428469,4235.19624101069
-0.85429420800935,2188.83971534937
-0.853786074763102,299.633072186191
-0.85131157891702,9082.82829498739
-0.848985952977136,6981.81909102321
-0.842584247009537,2047.0249103527
-0.841646998649669,3442.08707693376
-0.839341419694843,4962.37058006444
-0.837611808712385,7524.10405217283
-0.837156930966112,8767.12884655226
-0.828655061793383,553.534449225227
-0.826856200922892,9716.44537599964
-0.825485666932469,8361.81005118414
-0.81138249970229,2504.33446872306
-0.809783228043956,6128.47290813757
-0.809067451384516,5734.45759579111
-0.807903816875251,9366.81545490464
-0.807076322950212,6238.92237611996
-0.802669068556514,2764.62795019738
-0.800118492232649,3402.30766104508
-0.799326021601735,3075.10874521803
-0.796448178101637,3486.57807154586
-0.796342264171265,5306.80762794246
-0.784898052649489,2013.01419150691
-0.77713226492504,6733.3325687744
-0.777085040080863,2238.4300916265
-0.77695964723807,7962.88456849888
-0.776953975522557,6525.03222828366
-0.772954936998559,3180.11837020304
-0.769611043673266,1296.5871469585
-0.767815616217912,1683.09493465117
-0.762114715081575,6086.1026442324
-0.75824453248401,7442.41031899326
-0.755293507117571,7878.09522729143
-0.749615087042225,1913.62379768232
-0.746271569450998,5626.64660408129
-0.744913802576668,1982.94234206111
-0.743582472751593,1149.36088483191
-0.74240479138986,1327.95858575415
-0.742000917786224,1081.21899448268
-0.741104983774901,7807.40085157745
-0.740787509332839,5355.57936598769
-0.738488798933723,3701.40337844549
-0.731176543182073,9190.15972736605
-0.727773266769014,7127.06174176116
-0.724273480836468,4489.16066275901
-0.722458723027397,3274.05564440704
-0.720169455378324,2327.0598396721
-0.716795344747428,4122.92610764985
-0.715746907342026,9680.17956684061
-0.707374288436133,2577.92621146212
-0.707052173223688,1986.64644821622
-0.702825400307157,7412.24054459374
-0.700135676517586,9925.47958301198
-0.699741605676936,5637.36695716569
-0.697729171014082,8715.71498888955
-0.687772682423266,6996.87971184163
-0.686855290139943,7055.40475770696
-0.686758431525481,8518.28878046726
-0.684171762962971,5771.33272893592
-0.680502067614376,2088.25825536523
-0.674960951783199,3126.66450337725
-0.672753745782004,5422.81328417026
-0.670161921173803,5305.23395810869
-0.669863373842387,2215.01259116681
-0.664438957694077,7975.88087785957
-0.657268381135089,2481.62804101938
-0.656183726077289,1732.54923792576
-0.654741005839277,2891.86719260599
-0.653719121571308,7043.77342779251
-0.652262049146142,7017.60734360126
-0.648904574072048,1330.73516555364
-0.645514679897722,7178.4271444611
-0.643923334845719,3525.54605278842
-0.643597451855036,8577.69627137275
-0.64093701487846,3230.29659270505
-0.640503580515483,3801.99905748381
-0.639776274323743,7424.64757006153
-0.637921249059033,879.579280965428
-0.63388515378307,6530.50457013011
-0.629962443234223,6058.58197021248
-0.62799163182388,2465.29386459936
-0.62782262726662,1135.82192174471
-0.62765076327861,6757.15607807623
-0.626579223037992,4584.83948402203
-0.621828056106019,2808.72001304001
-0.617293662471769,7003.79992720945
-0.616046111956568,9042.70624313074
-0.613435724933842,9066.34334251653
-0.610709743299829,4912.14948100124
-0.607620447897357,9429.3122712963
-0.606674925486,2284.33257366337
-0.603047477116955,4655.8074401936
-0.599624597981288,6122.26807374704
-0.597576289982484,3981.62058012982
-0.596031827646074,7814.06720892348
-0.592621048834197,6704.73388970658
-0.590552767345535,433.091607362688
-0.588253532351438,3496.65928739946
-0.585776003741361,2098.84482881897
-0.58459146012257,4796.79104473193
-0.583783422754153,1017.47784827222
-0.581352904439336,731.71596473252
-0.580706638881127,770.409862070698
-0.576186981177662,1291.56965201457
-0.574382078599538,7429.28802973434
-0.573953000684384,8491.6434841777
-0.573068479156677,8060.70885468626
-0.570218140676078,352.580342528791
-0.569335786555858,7081.96493003778
-0.568902917509372,3136.196641061
-0.5673615882065,6227.10289094652
-0.566319219093608,6114.64387871949
-0.566293929205447,287.85113579089
-0.560819465796651,8344.11443177781
-0.560629110441291,4678.86866850117
-0.556980965242313,3451.92815196348
-0.555263204457497,9893.48492202091
-0.553419138927147,5092.7165403463
-0.550589305013382,8745.09839281945
-0.549623135589487,500.428378724752
-0.548015867638736,8547.26503170181
-0.545276803419062,6410.44023668767
-0.538725834316175,293.251718507049
-0.538330067860666,4991.56240652748
-0.537047379994238,1416.92590336727
-0.536778182812224,286.83272847413
-0.53669517931434,6517.1559997014
-0.533671411009803,1015.93007076051
-0.53219892811456,1555.69265614576
-0.532188074456749,3373.26941021421
-0.532116723010018,7448.20568469092
-0.531823766349787,5760.58022068765
-0.53039283174246,3194.33577018781
-0.529764970414572,4449.19361188385
-0.524432125783434,1031.26597136709
-0.522935651531197,8399.51537006398
-0.522591320947274,4731.34634757374
-0.521983751931403,9588.70312558524
-0.518130397509327,7057.86526419566
-0.515988611787597,9288.67953829891
-0.514939243642008,8537.02168734933
-0.514027407063988,8415.80770235934
-0.513710970187491,5519.79980275958
-0.512692602885574,5669.90954092084
-0.511778959819324,213.042686536518
-0.510410809916139,6896.28217575323
-0.507529349471789,1765.88454905295
-0.504670049906684,1261.02482876314
-0.503641429484724,3666.8046575253
-0.502986413450995,856.82517116731
-0.502472961898079,7869.58082680751
-0.497132930564047,7842.07050342897
-0.496955042481506,4552.59446641674
-0.493944136143892,6468.98885449331
-0.492356487272312,3852.60306484057
-0.491520611170639,1482.24996838022
-0.489532496650436,3598.51620793236
-0.488590214946843,7285.11499557099
-0.487827027979734,4349.67162377484
-0.480922270366731,8397.58613599502
-0.480310142121459,5617.84789194132
-0.478642544043098,8665.88350935434
-0.478164770314251,7159.28599423963
-0.474504610207613,4249.24621713488
-0.474326861114621,8130.82139355554
-0.473525669930662,5727.44340873511
-0.470470968718181,4311.71491922485
-0.470205069568253,9023.27518446819
-0.46800735190588,6296.49328109368
-0.460655107270356,8138.22359962371
-0.460501812098804,3072.29503998836
