# sigma,T  Arias de Reyna positive-t zeros of f(s); T=indexToImag^-1(t); source Zeros25digits.txt
0.6445957592,146.1571166088
0.6522687968,146.1577292568
0.6107770785,146.1582808580
0.2253843921,146.1587603236
0.4457584158,146.1597090935
-0.1024972871,146.1603575443
0.6642436669,146.1611857828
0.6023826538,146.1618339430
0.1448240523,146.1624590690
0.3204106335,146.1630596775
0.5830291256,146.1637857361
0.6207671836,146.1644319437
-0.0311739414,146.1650802026
0.2907795291,146.1663477000
0.3185095841,146.1666108435
0.3324574956,146.1671960162
0.5045470656,146.1679150393
0.6816755116,146.1685044286
0.0825635702,146.1694867173
0.4474233974,146.1703654672
0.0290379777,146.1709018123
0.2631423684,146.1716309856
-3.4804711772,146.1716579429
0.2078674262,146.1724264726
0.7024217144,146.1730456673
0.2990731055,146.1737351577
0.6234173913,146.1742760306
0.6094384708,146.1754957588
0.5105370212,146.1763233225
0.6842203519,146.1768745175
0.6790738683,146.1773758775
0.4158030289,146.1787309954
-0.1283102538,146.1785400570
0.2803474040,146.1793975227
0.2235208195,146.1805105832
0.3711354137,146.1812806684
-0.9033993246,146.1811090358
0.4067447791,146.1824661056
0.3838774444,146.1826473828
0.3668932749,146.1835216822
0.3008167193,146.1838056909
0.3832481706,146.1852370089
0.6032664108,146.1858218363
0.3881637562,146.1863565607
0.5193140079,146.1871902925
0.2757526185,146.1877778668
0.3897946551,146.1884771004
-0.9884088804,146.1890466429
0.6364534965,146.1893971333
0.2658843681,146.1903375860
0.8023122995,146.1913160702
0.6243476739,146.1918842346
0.5877076046,146.1925168913
0.5671180208,146.1930975548
0.0924632149,146.1939965320
0.2660859170,146.1944277701
0.4787485776,146.1954572666
0.6214799283,146.1959267741
0.5336068062,146.1966331306
0.4131657974,146.1974099272
0.7694696813,146.1980068878
0.8219773677,146.1985310698
0.4498545351,146.1995787703
0.5281921916,146.2004167440
0.5922847812,146.2011583590
0.5224956185,146.2018153087
-1.4302914741,146.2023280773
0.5530639185,146.2023966475
0.3588847908,146.2033824637
0.4443021746,146.2041234617
0.3821147513,146.2049257929
0.5145691226,146.2054983709
0.5449940702,146.2066282535
0.3434757188,146.2068122407
0.5469573020,146.2074995650
0.6913951835,146.2081873955
0.7368207494,146.2088153453
0.7452871696,146.2101266028
0.7154680236,146.2106966894
0.7287041784,146.2113170562
0.2219380955,146.2120672662
0.5000214135,146.2127215430
0.2366436642,146.2134369135
-2.5789282225,146.2140147910
0.2735564089,146.2140368316
0.3895264633,146.2151442043
0.4038971789,146.2158219946
0.4054066033,146.2166432938
0.6724631355,146.2170949881
0.5801016799,146.2176679032
0.3069461576,146.2185579422
0.6552558178,146.2195725873
-0.2550051968,146.2201236748
0.5014131433,146.2208449799
0.3527613039,146.2211514160
0.3183528158,146.2222167241
0.1520240262,146.2226035307
0.5939619122,146.2231699194
0.5453869789,146.2239290307
0.5297950351,146.2251675645
0.4245298091,146.2259332091
0.3323565660,146.2261302120
0.2548509777,146.2268426845
0.3784699523,146.2274773423
0.4898316554,146.2281866836
0.5471272515,146.2297996030
-0.1705887820,146.2293994625
-0.1457413828,146.2303611395
-1.9708951527,146.2310975051
0.4333431719,146.2314842924
0.4818532337,146.2320573122
0.4451304115,146.2328482880
-0.1952890222,146.2332188408
-0.0179984607,146.2342965337
0.4533555532,146.2350278760
0.6332604300,146.2356396700
0.5576796758,146.2363246577
0.6481130971,146.2368110211
0.4259544347,146.2379770798
0.6452615043,146.2382371102
0.4458065761,146.2391702119
0.5959120166,146.2400527536
0.5133476230,146.2407583567
0.4336981395,146.2413742447
0.5312247050,146.2420657109
0.5344346102,146.2425450860
-0.8533235674,146.2430137443
0.3720105358,146.2440114470
0.6993234596,146.2448994211
0.3976862496,146.2453633993
0.3469263965,146.2460812733
0.2552790002,146.2469795712
0.4326256484,146.2472524099
0.2484890128,146.2480988656
0.4039896370,146.2489103338
0.0500923308,146.2500763506
-1.9217253390,146.2496893691
0.5401978269,146.2507032626
0.6659386368,146.2512105010
0.3742354529,146.2520381153
0.2959297333,146.2527014940
0.0345621974,146.2535620684
0.3715168683,146.2542846355
0.1507322442,146.2549963622
0.3704956903,146.2554514309
-0.1701802385,146.2561662921
0.5852609814,146.2567105103
0.7131457738,146.2573651296
0.7471752734,146.2579723246
0.7459124371,146.2593125262
0.7597283546,146.2598591381
0.5401298410,146.2606483226
0.6917040710,146.2611167292
0.2796794690,146.2618863090
0.1681893926,146.2623239613
0.5779302505,146.2631959937
0.4659099320,146.2639623635
0.5025917361,146.2646440787
0.4016817632,146.2655608968
0.4458910738,146.2659819141
0.7752786390,146.2665718304
0.4977316568,146.2674052273
0.2756116077,146.2680644866
0.2804152429,146.2694066672
-0.6157518714,146.2696569565
0.3819027264,146.2700355383
0.3282716361,146.2704781453
0.4619459134,146.2716230496
0.3867351973,146.2721710844
0.5119598090,146.2727242418
0.6827991584,146.2738384191
0.3106579237,146.2748632334
-9.2640744007,146.2745903968
0.4918061025,146.2752872447
0.0678106392,146.2761081182
0.5412987584,146.2764862696
0.0818453723,146.2770048636
0.4073216094,146.2784661143
-2.0814386537,146.2787454007
0.3662712611,146.2791426832
0.2814963496,146.2798117568
0.6480973778,146.2806639374
0.2327279251,146.2812712509
0.6629148506,146.2820189855
0.5780533318,146.2825799416
0.2994163090,146.2836806180
0.5450466419,146.2846207264
0.2253657030,146.2849879739
0.4843469442,146.2855628291
0.2072411345,146.2861806412
0.0726435944,146.2868771222
0.5798088531,146.2874840747
0.4113434882,146.2886401357
0.4316317678,146.2892419638
0.1166662451,146.2895293430
0.5909075530,146.2906891700
0.4169884095,146.2912353180
0.3016653373,146.2914672841
0.4744827798,146.2923112911
0.1719156131,146.2935183524
0.4622798126,146.2939480269
0.6637784781,146.2947245427
0.3573647869,146.2953170878
0.4671188067,146.2957941993
0.6893201822,146.2966951379
0.4453214943,146.2975565278
0.5462551574,146.2980359710
0.5086019565,146.2993173679
0.1294376539,146.2998498051
0.3882637415,146.3004460147
-1.2988895436,146.3007006175
0.1440200481,146.3013247329
0.5174418076,146.3017348709
0.2371735431,146.3034031423
0.4040953871,146.3037097478
0.4655124269,146.3045304395
-3.6250797915,146.3049574814
0.0996311152,146.3051700729
0.3382741297,146.3061277336
0.5240816455,146.3065108972
0.1760759257,146.3073889794
0.0406462016,146.3082763050
0.4619965085,146.3088563741
0.7465105105,146.3097729442
0.7133716908,146.3103097694
0.6363455205,146.3109067244
0.5281458856,146.3120370688
0.0089692907,146.3125207315
0.4212688383,146.3134792733
0.3419460252,146.3140192545
-0.0739829605,146.3148600345
0.3835617593,146.3153169452
0.4725303476,146.3162164045
0.3932936133,146.3167841618
-3.1948982944,146.3174449111
-1.6612608870,146.3174384895
0.5316392354,146.3186686898
0.6137484344,146.3191986951
-0.0213542429,146.3199073557
0.5603293696,146.3206072060
-0.1902611565,146.3213064159
0.1135502131,146.3220808738
-0.3056812574,146.3226980687
-11.1138404506,146.3233483625
0.5946261155,146.3232717928
0.5705722244,146.3243993042
0.6320534701,146.3250101048
0.5356365375,146.3257109107
0.4305040873,146.3261549006
0.1507117407,146.3272249464
0.4733817584,146.3280984483
0.5285080567,146.3291313730
-0.6011245518,146.3289650914
0.3823701654,146.3295717217
0.2810319114,146.3307376320
0.3514995597,146.3312323715
0.5246162532,146.3316925780
0.4839553122,146.3328710233
0.5467906131,146.3336781807
0.4673578921,146.3343351750
0.4052837380,146.3350703513
0.4276207803,146.3352479519
0.6918111432,146.3361938689
0.4768632041,146.3377309956
-0.5348354742,146.3375551963
0.4650762324,146.3383330865
0.4739745431,146.3391708433
-5.8931440006,146.3396847251
0.7337867198,146.3400776918
0.4363934736,146.3405994731
0.4833963298,146.3414296894
0.3853782622,146.3419777362
0.6340811526,146.3432937856
0.5224930639,146.3437968002
0.6826402581,146.3444522553
0.3804751475,146.3450519749
0.2691644956,146.3460464206
-0.3767475389,146.3463238986
0.2452134509,146.3470922240
0.3889790022,146.3480956874
-0.2629369474,146.3485820009
0.3139839170,146.3490046714
0.6191214393,146.3499969604
0.5294462951,146.3505109854
0.4790498237,146.3509689054
0.6267154667,146.3524227819
0.4985999630,146.3533542036
-0.3602246758,146.3535019407
-1.4455367380,146.3540292032
0.5583677646,146.3543713267
0.3077070216,146.3552532549
0.5177749807,146.3560458883
0.0144959962,146.3567498620
0.5062289992,146.3574329604
0.4819150917,146.3590500882
-0.0279803441,146.3585177092
0.4234959336,146.3592846451
0.4059616274,146.3601861337
0.5195986609,146.3607290892
0.3378143762,146.3617194512
0.6173911502,146.3627681443
0.5820273648,146.3631513787
-0.0258685431,146.3639578111
0.0987800017,146.3645168814
0.1983599973,146.3651764578
0.3440759387,146.3656071813
0.3572026784,146.3662607133
0.4697404357,146.3675241620
0.3233027558,146.3680468615
-27.5350663057,146.3681242188
0.6146554262,146.3687036030
0.7095341282,146.3693881833
0.7029389690,146.3699384438
0.4314289498,146.3711042651
0.4350482090,146.3718628362
-1.6164647795,146.3722224048
